#Energy  d
-18.58510000 0
-18.57710000 0
-18.56910000 0
-18.56110000 0
-18.55310000 0
-18.54510000 0
-18.53710000 0
-18.52910000 0
-18.52110000 0
-18.51310000 0
-18.50510000 0
-18.49710000 0
-18.48910000 0
-18.48110000 0
-18.47310000 0
-18.46510000 0
-18.45710000 0
-18.44910000 0
-18.44110000 0
-18.43310000 0
-18.42510000 0
-18.41710000 0
-18.40910000 0
-18.40110000 0
-18.39310000 0
-18.38510000 0
-18.37710000 0
-18.36910000 0
-18.36110000 0
-18.35310000 0
-18.34510000 0
-18.33710000 0
-18.32910000 0
-18.32110000 0
-18.31310000 0
-18.30510000 0
-18.29710000 0
-18.28910000 0
-18.28110000 0
-18.27310000 0
-18.26510000 0
-18.25710000 0
-18.24910000 0
-18.24110000 0
-18.23310000 0
-18.22510000 0
-18.21710000 0
-18.20910000 0
-18.20110000 0
-18.19310000 0
-18.18510000 0
-18.17710000 0
-18.16910000 0
-18.16110000 0
-18.15310000 0
-18.14510000 0
-18.13710000 0
-18.12910000 0
-18.12110000 0
-18.11310000 0
-18.10510000 0
-18.09710000 0
-18.08910000 0
-18.08110000 0
-18.07310000 0
-18.06510000 0
-18.05710000 0
-18.04910000 0
-18.04110000 0
-18.03310000 0
-18.02510000 0
-18.01710000 0
-18.00910000 0
-18.00110000 0
-17.99310000 0
-17.98510000 0
-17.97710000 0
-17.96910000 0
-17.96110000 0
-17.95310000 0
-17.94510000 0
-17.93710000 0
-17.92910000 0
-17.92110000 0
-17.91310000 0
-17.90510000 0
-17.89710000 0
-17.88910000 0
-17.88110000 0
-17.87310000 0
-17.86510000 0
-17.85710000 0
-17.84910000 0
-17.84110000 0
-17.83310000 0
-17.82510000 0
-17.81710000 0
-17.80910000 0
-17.80110000 0
-17.79310000 0
-17.78510000 0
-17.77710000 0
-17.76910000 0
-17.76110000 0
-17.75310000 0
-17.74510000 0
-17.73710000 0
-17.72910000 0
-17.72110000 0
-17.71310000 0
-17.70510000 0
-17.69710000 0
-17.68910000 0
-17.68110000 0
-17.67310000 0
-17.66510000 0
-17.65710000 0
-17.64910000 0
-17.64110000 0
-17.63310000 0
-17.62510000 0
-17.61710000 0
-17.60910000 0
-17.60110000 0
-17.59310000 0
-17.58510000 0
-17.57710000 0
-17.56910000 0
-17.56110000 0
-17.55310000 0
-17.54510000 0
-17.53710000 0
-17.52910000 0
-17.52110000 0
-17.51310000 0
-17.50510000 0
-17.49710000 0
-17.48910000 0
-17.48110000 0
-17.47310000 0
-17.46510000 0
-17.45710000 0
-17.44910000 0
-17.44110000 0
-17.43310000 0
-17.42510000 0
-17.41710000 0
-17.40910000 0
-17.40110000 0
-17.39310000 0
-17.38510000 0
-17.37710000 0
-17.36910000 0
-17.36110000 0
-17.35310000 0
-17.34510000 0
-17.33710000 0
-17.32910000 0
-17.32110000 0
-17.31310000 0
-17.30510000 0
-17.29710000 0
-17.28910000 0
-17.28110000 0
-17.27310000 0
-17.26510000 0
-17.25710000 0
-17.24910000 0
-17.24110000 0
-17.23310000 0
-17.22510000 0
-17.21710000 0
-17.20910000 0
-17.20110000 0
-17.19310000 0
-17.18510000 0
-17.17710000 0
-17.16910000 0
-17.16110000 0
-17.15310000 0
-17.14510000 0
-17.13710000 0
-17.12910000 0
-17.12110000 0
-17.11310000 0
-17.10510000 0
-17.09710000 0
-17.08910000 0
-17.08110000 0
-17.07310000 0
-17.06510000 0
-17.05710000 0
-17.04910000 0
-17.04110000 0
-17.03310000 0
-17.02510000 0
-17.01710000 0
-17.00910000 0
-17.00110000 0
-16.99310000 0
-16.98510000 0
-16.97710000 0
-16.96910000 0
-16.96010000 0
-16.95210000 0
-16.94410000 0
-16.93610000 0
-16.92810000 0
-16.92010000 0
-16.91210000 0
-16.90410000 0
-16.89610000 0
-16.88810000 0
-16.88010000 0
-16.87210000 0
-16.86410000 0
-16.85610000 0
-16.84810000 0
-16.84010000 0
-16.83210000 0
-16.82410000 0
-16.81610000 0
-16.80810000 0
-16.80010000 0
-16.79210000 0
-16.78410000 0
-16.77610000 0
-16.76810000 0
-16.76010000 0
-16.75210000 0
-16.74410000 0
-16.73610000 0
-16.72810000 0
-16.72010000 0
-16.71210000 0
-16.70410000 0
-16.69610000 0
-16.68810000 0
-16.68010000 0
-16.67210000 0
-16.66410000 0
-16.65610000 0
-16.64810000 0
-16.64010000 0
-16.63210000 0
-16.62410000 0
-16.61610000 0
-16.60810000 0
-16.60010000 0
-16.59210000 0
-16.58410000 0
-16.57610000 0
-16.56810000 0
-16.56010000 0
-16.55210000 0
-16.54410000 0
-16.53610000 0
-16.52810000 0
-16.52010000 0
-16.51210000 0
-16.50410000 0
-16.49610000 0
-16.48810000 0
-16.48010000 0
-16.47210000 0
-16.46410000 0
-16.45610000 0
-16.44810000 0
-16.44010000 0
-16.43210000 0
-16.42410000 0
-16.41610000 0
-16.40810000 0
-16.40010000 0
-16.39210000 0
-16.38410000 0
-16.37610000 0
-16.36810000 0
-16.36010000 0
-16.35210000 0
-16.34410000 0
-16.33610000 0
-16.32810000 0
-16.32010000 0
-16.31210000 0
-16.30410000 0
-16.29610000 0
-16.28810000 0
-16.28010000 0
-16.27210000 0
-16.26410000 0
-16.25610000 0
-16.24810000 0
-16.24010000 0
-16.23210000 0
-16.22410000 0
-16.21610000 0
-16.20810000 0
-16.20010000 0
-16.19210000 0
-16.18410000 0
-16.17610000 0
-16.16810000 0
-16.16010000 0
-16.15210000 0
-16.14410000 0
-16.13610000 0
